5,"Port Moresby Jacksons International Airport","Papua New Guinea",-9,147
8,"Godthaab / Nuuk Airport","Greenland",64,-51
16,"Keflavik International Airport","Iceland",63,-22
193,"Lester B. Pearson International Airport","Canada",43,-79
210,"Houari Boumediene Airport","Algeria",36,3
245,"Cadjehoun Airport","Benin",6,2
246,"Ouagadougou Airport","Burkina Faso",12,-1
248,"Kotoka International Airport","Ghana",5,0
253,"Port Bouet Airport","Cote d'Ivoire",5,-3
273,"Murtala Muhammed International Airport","Nigeria",6,3
280,"Diori Hamani International Airport","Niger",13,2
287,"Tunis Carthage International Airport","Tunisia",36,10
298,"Lomé-Tokoin Airport","Togo",6,1
302,"Brussels Airport","Belgium",50,4
340,"Frankfurt am Main Airport","Germany",50,8
415,"Lennart Meri Tallinn Airport","Estonia",59,24
421,"Helsinki Vantaa Airport","Finland",60,24
498,"Guernsey Airport","Guernsey",49,-2
499,"Jersey Airport","Jersey",49,-2
507,"London Heathrow Airport","United Kingdom",51,0
520,"Isle of Man Airport","Isle of Man",54,-4
580,"Amsterdam Airport Schiphol","Netherlands",52,4
599,"Dublin Airport","Ireland",53,-6
609,"Copenhagen Kastrup Airport","Denmark",55,12
625,"Vagar Airport","Faroe Islands",62,-7
629,"Luxembourg-Findel International Airport","Luxembourg",49,6
644,"Oslo Lufthavn","Norway",60,11
679,"Warsaw Chopin Airport","Poland",52,20
737,"Stockholm-Arlanda Airport","Sweden",59,17
813,"OR Tambo International Airport","South Africa",-26,28
881,"Sir Seretse Khama International Airport","Botswana",-24,25
883,"Maya-Maya Airport","Congo (Brazzaville)",-4,15
887,"Matsapha Airport","Swaziland",-26,31
888,"Bangui M'Poko International Airport","Central African Republic",4,18
891,"Malabo Airport","Equatorial Guinea",3,8
893,"Sir Seewoosagur Ramgoolam International Airport","Mauritius",-20,57
897,"Douala International Airport","Cameroon",4,9
907,"Kenneth Kaunda International Airport Lusaka","Zambia",-15,28
912,"Prince Said Ibrahim International Airport","Comoros",-11,43
915,"Dzaoudzi Pamandzi International Airport","Mayotte",-12,45
916,"Roland Garros Airport","Reunion",-20,55
918,"Ivato Airport","Madagascar",-18,47
